2025-12-10 13:14:53 [GPU-PF] Error: 5.49 m | StdDev: 4.89 m | Neff: 1892 | ResRaw[Mean:-0.0 Std:2.6] | Meas[N:10000 Mean:-110.5 Std:0.5] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 5.30 m | StdDev: 4.86 m | Neff: 1916 | ResRaw[Mean:-0.0 Std:2.7] | Meas[N:10000 Mean:-110.3 Std:0.5] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 5.03 m | StdDev: 4.83 m | Neff: 1946 | ResRaw[Mean:-0.0 Std:3.0] | Meas[N:10000 Mean:-110.3 Std:1.0] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 4.49 m | StdDev: 4.78 m | Neff: 1957 | ResRaw[Mean:-0.0 Std:3.0] | Meas[N:10000 Mean:-110.3 Std:0.8] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 4.19 m | StdDev: 4.74 m | Neff: 1944 | ResRaw[Mean:0.0 Std:3.1] | Meas[N:10000 Mean:-110.3 Std:0.8] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 3.71 m | StdDev: 4.71 m | Neff: 1895 | ResRaw[Mean:0.0 Std:3.3] | Meas[N:10000 Mean:-111.0 Std:1.0] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 3.30 m | StdDev: 4.66 m | Neff: 1809 | ResRaw[Mean:-0.0 Std:3.4] | Meas[N:10000 Mean:-110.7 Std:1.0] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 2.81 m | StdDev: 4.63 m | Neff: 1690 | ResRaw[Mean:-0.0 Std:3.5] | Meas[N:10000 Mean:-110.6 Std:1.2] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 2.27 m | StdDev: 4.58 m | Neff: 1545 | ResRaw[Mean:-0.0 Std:3.4] | Meas[N:10000 Mean:-110.5 Std:1.0] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.85 m | StdDev: 4.56 m | Neff: 1403 | ResRaw[Mean:0.0 Std:3.4] | Meas[N:10000 Mean:-110.4 Std:1.0] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.43 m | StdDev: 4.55 m | Neff: 1273 | ResRaw[Mean:-0.0 Std:3.3] | Meas[N:10000 Mean:-110.3 Std:0.7] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:58 [GPU-PF] Error: 1.11 m | StdDev: 4.53 m | Neff: 1124 | ResRaw[Mean:0.0 Std:3.5] | Meas[N:10000 Mean:-111.0 Std:0.9] | Diff[Mean:0.0 Std:0.0]
